Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.50177279867325E-06,-0.0486243729911788,0.271749352170472,0,0,0,101.064169290272,3.84471910976182,-1.96603504895316E-06,-4.96697058867377E-06,12.7657101867472,0.0183178842430371,16.5037614321531,0,0,0,0,0,0,package://construct_robot_0528/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/base_link.STL,,base_link^construct-1,global_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
robot_base_link,-4.82972770976531E-06,-0.00264656671262931,0.630069164182882,0,0,0,9.62679966839745,0.313388911240642,-5.92796209531898E-08,-2.49618789223468E-07,0.523961178342772,1.96032155522254E-05,0.270037755370955,0,0,0,0,0,0,package://construct_robot_0528/meshes/robot_base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/robot_base_link.STL,,robot_base_link^construct-1,robot_base_coord,robot_base_axis,robot_base_joint,fixed,0,-0.5,0.33,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_manipulator_base_link,2.47382312095618E-05,0.00352448223506857,0.0520878179463256,0,0,0,2.94161250691283,0.0106200517003664,-1.89261730148865E-05,3.06865809529576E-06,0.00992340232610754,0.000162263314541543,0.0150373114291645,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_base_link.STL,,left_manipulator_base_link^construct-1,left_manipulator_base_coord,left_manipulator_base_axis,left_manipulator_base_joint,fixed,-0.25,0,1.0002,0,0,3.1416,robot_base_link,0,0,0,,,,,,,,,,,,
left_manipulator_link1,-7.82409892144398E-06,-0.0181689701636886,0.14860081086915,0,0,0,2.57873101336861,0.0083586740750569,2.29931705651022E-06,2.12674445262705E-06,0.00850904084065618,-0.00228223234669651,0.00869869730406677,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link1.STL,,left_manipulator_link1^construct-1,left_manipulator_coord1,left_manipulator_axis1,left_manipulator_joint1,revolute,0,0,0.1073,0,0,0,left_manipulator_base_link,0,0,-1,0,0,0,0,,,,,,,,
left_manipulator_link2,-1.28265053202237E-06,0.464813426587113,0.133590251404909,0,0,0,18.6675270362353,0.486061951013357,2.31528993157915E-06,2.13850475297004E-06,0.0563638160914465,1.47266624393945E-05,0.48676195036387,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link2.STL,,left_manipulator_link2^construct-1,left_manipulator_coord2,left_manipulator_axis2,left_manipulator_joint2,revolute,0,0.12,0.134,1.5708,0,-3.1416,left_manipulator_link1,0,0,-1,0,0,0,0,,,,,,,,
left_manipulator_link3,1.07328086652869E-06,0.0128746593563673,-0.0787137941128505,0,0,0,3.51858424407504,0.00986845981905237,1.19292529619721E-08,1.61720587631227E-08,0.0102207475608464,0.0022969582216192,0.0101224880827007,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link3.STL,,left_manipulator_link3^construct-1,left_manipulator_coord3,left_manipulator_axis3,left_manipulator_joint3,revolute,0,0.885,0.0365,0,0,0,left_manipulator_link2,0,0,-1,0,0,0,0,,,,,,,,
left_manipulator_link4,-4.72698405104555E-06,0.0698846891131144,0.347470625119866,0,0,0,10.1068776913449,0.385424405879349,1.99014578608369E-07,1.10245972702519E-06,0.358902617182911,-0.0890475687244486,0.0471921249012298,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link4.STL,,left_manipulator_link4^construct-1,left_manipulator_coord4,left_manipulator_axis4,left_manipulator_joint4,revolute,0,0.0975,-0.09,1.5708,0,-3.1416,left_manipulator_link3,0,0,-1,0,0,0,0,,,,,,,,
left_manipulator_link5,3.33949444618342E-06,0.00696629145827199,0.0549279144808109,0,0,0,1.13314280303703,0.0013270763712727,3.10737396485923E-08,3.78232703207708E-10,0.00138729124200453,-0.000318692891988123,0.00134039089412424,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link5.STL,,left_manipulator_link5^construct-1,left_manipulator_coord5,left_manipulator_axis5,left_manipulator_joint5,revolute,0,0.0597,0.7875,1.5708,0,0,left_manipulator_link4,0,0,-1,0,0,0,0,,,,,,,,
left_manipulator_link6,-0.000335497970648024,2.37285793401321E-05,0.0301949633975802,0,0,0,0.424231397911477,0.000302897453638027,1.3349841815912E-08,2.23237462650332E-08,0.000299224095311333,-1.66932638524379E-07,0.000490642092942804,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link6.STL,,left_manipulator_link6^construct-1,left_manipulator_coord6,left_manipulator_axis6,left_manipulator_joint6,revolute,0,0.0695,0.0597,-1.5708,0,0,left_manipulator_link5,0,0,-1,0,0,0,0,,,,,,,,
left_manipulator_link_ee,-0.0222271261992198,2.55565244592915E-05,-0.0650731273795286,0,0,0,0.382964083930774,0.00031225673839569,3.60293986596278E-06,-8.50695130230842E-05,0.000968462342760267,2.39839809807178E-11,0.000890179496030154,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link_ee.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_manipulator_link_ee.STL,,left_manipulator_link_ee^construct-1,left_manipulator_coord_ee,left_manipulator_axis_ee,left_manipulator_joint_ee,fixed,0,0,0.0543,-3.1416,0,0,left_manipulator_link6,0,0,0,,,,,,,,,,,,
left_D435_link,-0.000562968804608821,3.29816876354361E-05,-0.0126645432739445,0,0,0,0.0817262722842057,1.38764579712435E-05,-2.93259234112558E-09,-4.955302906488E-07,6.45709913173041E-05,9.95539277941689E-10,6.50520814074491E-05,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_D435_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/left_D435_link.STL,,left_D435_link^construct-1,left_D435_coord,left_D435_axis,left_D435_joint,fixed,0.12546,0,-0.052085,2.8798,0,-1.5708,left_manipulator_link_ee,0,0,0,,,,,,,,,,,,
right_manipulator_base_link,2.47382304695565E-05,0.00352448222734059,0.0520878179475872,0,0,0,2.94161250669878,0.0106200517003406,-1.89261730177182E-05,3.06865809997853E-06,0.00992340232605907,0.000162263314539519,0.0150373114291498,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_base_link.STL,,right_manipulator_base_link^construct-1,right_manipulator_base_coord,right_manipulator_base_axis,right_manipulator_base_joint,fixed,0.24999999999997,0,1.00019999999931,0,0,0,robot_base_link,0,0,0,,,,,,,,,,,,
right_manipulator_link1,-7.82410358257657E-06,-0.0181689701674135,0.148600810866439,0,0,0,2.57873101367082,0.00835867407580836,2.29931665414118E-06,2.12674399096342E-06,0.008509040841585,-0.00228223234711189,0.00869869730483736,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link1.STL,,right_manipulator_link1^construct-1,right_manipulator_coord1,right_manipulator_axis1,right_manipulator_joint1,revolute,0,0,0.1073,0,0,0,right_manipulator_base_link,0,0,-1,0,0,0,0,,,,,,,,
right_manipulator_link2,-1.28265535670469E-06,0.464813426482565,0.133590251397412,0,0,0,18.6675270345251,0.486061951018069,2.31528060607426E-06,2.13849798201568E-06,0.0563638160963733,1.47266635714399E-05,0.486761950369755,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link2.STL,,right_manipulator_link2^construct-1,right_manipulator_coord2,right_manipulator_axis2,right_manipulator_joint2,revolute,0,0.12,0.134,1.5708,0,-3.1416,right_manipulator_link1,0,0,-1,0,0,0,0,,,,,,,,
right_manipulator_link3,1.07336974475292E-06,0.0128746592487388,-0.0787137943297136,0,0,0,3.51858424049439,0.00986845983392826,1.19155758443985E-08,1.6109254044209E-08,0.0102207475740869,0.00229695824724019,0.0101224880660249,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link3.STL,,right_manipulator_link3^construct-1,right_manipulator_coord3,right_manipulator_axis3,right_manipulator_joint3,revolute,0,0.885,0.0365,0,0,0,right_manipulator_link2,0,0,-1,0,0,0,0,,,,,,,,
right_manipulator_link4,-4.74726867294439E-06,0.0698856284352851,0.347470930284585,0,0,0,10.1069948634129,0.385425251786698,1.8092733254185E-07,1.0845260482231E-06,0.358903035401587,-0.0890480084339319,0.0471925532618561,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link4.STL,,right_manipulator_link4^construct-1,right_manipulator_coord4,right_manipulator_axis4,right_manipulator_joint4,revolute,0,0.0975,-0.09,1.5708,0,3.1416,right_manipulator_link3,0,0,-1,0,0,0,0,,,,,,,,
right_manipulator_link5,3.33949426423175E-06,0.00696629146758543,0.0549279144768857,0,0,0,1.13314280284386,0.00132707637025073,3.10730263751509E-08,3.78995815686463E-10,0.00138729124229195,-0.000318692892096857,0.00134039089547324,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link5.STL,,right_manipulator_link5^construct-1,right_manipulator_coord5,right_manipulator_axis5,right_manipulator_joint5,revolute,0,0.0597,0.7875,1.5708,0,0,right_manipulator_link4,0,0,-1,0,0,0,0,,,,,,,,
right_manipulator_link6,2.37285793569519E-05,0.000335497971714449,0.0301949633974274,0,0,0,0.424231397901505,0.000299224095311277,-1.33498419454083E-08,-1.66932638891931E-07,0.000302897453637012,-2.23237462635028E-08,0.00049064209294195,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://construct_robot_0528/meshes/right_manipulator_link6.STL,,right_manipulator_link6^construct-1,right_manipulator_coord6,right_manipulator_axis6,right_manipulator_joint6,revolute,0,0.0695,0.0597,-1.5708,0,0,right_manipulator_link5,0,0,-1,0,0,0,0,,,,,,,,
